factor_name,factor_direction,mean_rank_ic,mean_pearson_ic,ic_std,icir,ic_positive_ratio,annual_ls_return,ls_sharpe,ls_max_drawdown,ls_positive_ratio,n_eval_days,ic_zscore,ls_zscore,composite_score
log_dollar_vol,1,0.017052287110983805,0.008427821578801873,0.023802865701278056,0.7163963891300942,0.7510373443983402,0.31930155,4.975427542353962,0.0,0.6473029045643154,241,2.102251341776233,1.3663616,1.7343064799091126
bollinger_pos,1,0.006964461755872475,0.006493217139026275,0.026773849066915576,0.2601217969240842,0.5850622406639004,0.3081565,5.598323928134033,0.0,0.6348547717842323,241,0.9829183680335261,1.2851965,1.134057455386697
vol_ratio_5_20,1,0.004973975722325201,0.0018879459179369166,0.0261493529164781,0.19021410278070106,0.5850622406639004,0.24894066,3.9028537015147013,0.0,0.5975103734439834,241,0.7620564307285848,0.8539511,0.8080037636316568
RSI_14,1,0.005541452505073252,0.004229010523586085,0.02747402296154588,0.20169789086438408,0.5809128630705395,0.20264457,3.1936338307397163,0.0,0.5435684647302904,241,0.8250229723173997,0.5167949,0.6709089461425255
ret_5d,1,0.005482113051419531,0.004216830529316285,0.02533539471217837,0.21638159152682143,0.5850622406639004,0.11869066,2.026457810854611,0.0,0.5311203319502075,241,0.8184387378783259,-0.09460824,0.3619152490243928
ret_20d,1,0.001766067390365682,0.00037302318917541253,0.026672433018682287,0.06621320906523026,0.5435684647302904,0.11730301,1.8930628420142723,0.0,0.5145228215767634,241,0.4061107787861769,-0.10471399,0.15069839375090324
amihud_20d,-1,-0.022463476172016893,-0.009231669536771228,0.02497049239434045,-0.8996008459628191,0.1950207468879668,0.46688136,7.539066594151368,0.0,0.6763485477178424,241,-2.2823702459540494,2.441127,0.07937840794491136
rev_1d,-1,-0.0015613110952151623,-0.0030790550749730246,0.02412809180460935,-0.06470926509181998,0.4605809128630705,0.10729663,1.8506646461917806,0.0,0.5477178423236515,241,0.03690886222587504,-0.17758647,-0.07033880192405742
abnormal_vol_rev,-1,-0.0011362573046544493,-0.004358632443366174,0.024426108953048375,-0.04651814589817548,0.44813278008298757,0.07611711,1.295283340476014,0.0,0.4979253112033195,241,0.08407231982358855,-0.4046546,-0.16029113622601548
lower_shadow,1,0.001815999631939363,0.0010520418056866863,0.024031152318450877,0.07556856201973305,0.5394190871369294,0.02940019,0.477930296743768,0.0,0.5186721991701245,241,0.4116512002822716,-0.7448755,-0.1666121451915821
rev_5d,-1,-0.005482113051419531,-0.004216830529316285,0.02533539471217837,-0.21638159152682143,0.4149377593360996,0.11818957,2.020079267599187,0.0,0.5311203319502075,241,-0.39813860921659866,-0.098257475,-0.24819804190893371
body_ratio,-1,-0.0008086084132988724,0.0006112033239318374,0.02381937738099417,-0.03394750404136602,0.4854771784232365,0.03744433,0.6273719674890716,0.0,0.5145228215767634,241,0.12042784690641162,-0.6862932,-0.2829326689254105
sharpe_60d,1,0.0023690548938399346,-0.0005146378306961282,0.027876304667290998,0.08498453843206988,0.5435684647302904,-0.021565013,-0.3332018181518528,0.0,0.5020746887966805,241,0.4730175472555124,-1.116035,-0.3215087186665553
turnover_5d,-1,-0.014814148169686127,-0.009257418699699956,0.023619961492304258,-0.6271876485401569,0.24066390041493776,0.23620903,4.550358958493471,0.0,0.6099585062240664,241,-1.4336100068957909,0.76123166,-0.3361891730264477
downside_vol_60d,-1,-0.009052765681190218,-0.004325828848613564,0.025017608422005462,-0.36185575744489784,0.3983402489626556,0.14808768,2.513351891869655,0.0,0.5311203319502075,241,-0.7943339323501771,0.119478635,-0.33742764843011824
rev_overnight,-1,-0.003994601774630527,-0.003274128253746986,0.02417098973811308,-0.16526430242967521,0.45643153526970953,0.07014957,1.188620918860195,0.0,0.5518672199170125,241,-0.23308614624147297,-0.44811383,-0.34059998756947457
vol_20d,-1,-0.008097092962549842,-0.002556695947605789,0.025148765302216672,-0.3219678116618856,0.4024896265560166,0.123029515,2.3354123433002463,0.0,0.5809128630705395,241,-0.6882936364068595,-0.06301009,-0.37565186275313334
upper_shadow,1,4.130256927996305e-05,-0.001569660596443674,0.02632689256692915,0.0015688357073695134,0.5103734439834025,-0.04255408,-0.7328889698773894,0.0,0.4605809128630705,241,0.21473294776390509,-1.26889,-0.5270785377338006
beta_60d,-1,-0.0184656734835288,-0.00578389309495153,0.0239460871244628,-0.7711353136918615,0.1950207468879668,0.23122148,4.229850727193847,0.0,0.5684647302904564,241,-1.8387788658282402,0.7249093,-0.5569347801278652
ret_60d,1,3.4090758222746105e-05,-0.0011624534970588382,0.026736515268403076,0.0012750636256448808,0.5103734439834025,-0.06424139,-1.0215149864377735,0.0,0.4190871369294606,241,0.21393273387909045,-1.42683,-0.6064486597251887
mom_vol_adj,1,6.23591012437821e-05,-0.001182473877172042,0.02674344444834408,0.0023317527826699986,0.5103734439834025,-0.06538807,-1.0471533404529587,0.0,0.42738589211618255,241,0.2170693552362874,-1.4351809,-0.6090557736223958
