rank	id	type	theme	sharpe	ic	fitness	turnover	max_corr	economic_meaning	expression
1	de3cc910-3898-415a-acb0-f7957af9c28d	superalpha	composite	16.247	0.0463	19.659	0.418	0.0	liquidity and crowding; trend or continuation	superalpha(superalpha_ref(95eead5b-e7c1-4e49-b3b5-d13e7941ecf1) + superalpha_ref(d3884de8-ea16-4605-8532-ebdb9394ed7e))
2	ea1a3e72-f0fa-454e-b965-b6de3f4de0b8	superalpha	composite	15.316	0.032	15.328	0.4791	0.47210276716366745	liquidity and crowding; short-horizon reversal	superalpha(superalpha_ref(2ab2fb9b-2d78-46df-805b-1b3fc1457851) + superalpha_ref(70103815-6fd1-4383-ba50-3c8a931096df))
3	c0e67121-8bd4-4fb0-a3de-833d17bace96	superalpha	composite	14.02	0.0376	11.588	0.6462	0.48303483631391153	liquidity and crowding; short-horizon reversal	superalpha(superalpha_ref(ea867db0-03b3-44ff-b539-07b321084639) + superalpha_ref(9dcdbb83-1f62-4f6f-9a1d-25a7d6c2324f) + superalpha_ref(70103815-6fd1-4383-ba50-3c8a931096df))
4	ca6a835d-169f-425d-bafc-dc26e7d55f20	superalpha	composite	13.698	0.0349	14.501	0.4323	0.48755479159970116	liquidity and crowding; trend or continuation; short-horizon reversal	superalpha(superalpha_ref(ea867db0-03b3-44ff-b539-07b321084639) + superalpha_ref(df6cd541-5798-4368-b94f-b1cf50afbdb0) + superalpha_ref(70103815-6fd1-4383-ba50-3c8a931096df))
5	009f92ac-11d7-4365-b9ec-21472d5a4b84	superalpha	composite	13.459	0.0447	13.236	0.5656	0.4980399456918927	liquidity and crowding; trend or continuation	superalpha(superalpha_ref(d3884de8-ea16-4605-8532-ebdb9394ed7e) + superalpha_ref(df6cd541-5798-4368-b94f-b1cf50afbdb0) + superalpha_ref(9dcdbb83-1f62-4f6f-9a1d-25a7d6c2324f))
6	5400d6a4-33ad-47e4-b7e7-a71c792d1baa	superalpha	composite	13.332	0.0313	13.193	0.4649	0.46944345751179883	liquidity and crowding; trend or continuation; short-horizon reversal	superalpha(superalpha_ref(a7796444-94e3-4caf-879f-2b4ab12712eb) + superalpha_ref(70103815-6fd1-4383-ba50-3c8a931096df))
7	8138a76a-00ed-46a8-9c52-decf0e2a1c3a	superalpha	momentum	13.141	0.0418	12.891	0.5827	0.4959417159638869	liquidity and crowding; trend or continuation	superalpha(superalpha_ref(ec4867f1-011b-4d9f-83dc-ef9122794704) + zscore(ret_20d) - zscore(turnover_rate))
8	b72fe1ae-8309-437d-9dbb-08d0dc5beab2	superalpha	composite	12.063	0.0396	10.755	0.5954	0.43481337445750323	liquidity and crowding; short-horizon reversal	superalpha(superalpha_ref(2be80bc5-ece1-4617-9365-23f3648833b4) + superalpha_ref(20a48a5c-dac9-4f2c-bc96-219d64630c0f))
9	ea867db0-03b3-44ff-b539-07b321084639	superalpha	reversal	11.121	0.03	7.587	0.7376	0.38336650700209396	liquidity and crowding; short-horizon reversal	superalpha(superalpha_ref(870bebc2-687a-41d7-851f-a50922f3be82) + -rank(abs(zscore(turnover_rate) - zscore(auction_return))))
10	d3884de8-ea16-4605-8532-ebdb9394ed7e	superalpha	momentum	10.722	0.0372	11.102	0.434	0.48279788227702713	liquidity and crowding; trend or continuation	superalpha(superalpha_ref(39ddc0bb-44c2-499b-850d-099e295f13cb) + zscore(ret_20d) - zscore(turnover_rate))
