[2026-06-01T23:08:40] final audit runner start
[2026-06-01T23:08:49] stopped pid=12548 term=combo_builder.py
[2026-06-01T23:08:55] waiting for active lgb workers=[8920] free_gb=5.01
[2026-06-01T23:09:28] waiting for active lgb workers=[8920] free_gb=4.51
[2026-06-01T23:10:02] waiting for active lgb workers=[8920] free_gb=3.31
[2026-06-01T23:10:37] waiting for active lgb workers=[8920] free_gb=3.23
[2026-06-01T23:11:15] waiting for active lgb workers=[8920] free_gb=3.18
[2026-06-01T23:11:40] final audit runner start
[2026-06-01T23:11:48] waiting for active lgb workers=[8920] free_gb=3.16
[2026-06-01T23:12:23] waiting for active lgb workers=[8920] free_gb=3.23
[2026-06-01T23:12:57] waiting for active lgb workers=[8920] free_gb=3.25
[2026-06-01T23:13:31] waiting for active lgb workers=[8920] free_gb=3.31
[2026-06-01T23:14:07] waiting for active lgb workers=[8920] free_gb=3.30
[2026-06-01T23:14:43] waiting for active lgb workers=[8920] free_gb=3.11
[2026-06-01T23:15:17] waiting for active lgb workers=[8920] free_gb=3.16
[2026-06-01T23:15:51] waiting for active lgb workers=[8920] free_gb=3.18
[2026-06-01T23:16:25] waiting for active lgb workers=[8920] free_gb=2.94
[2026-06-01T23:16:41] final audit runner start
[2026-06-01T23:16:49] waiting for active lgb workers=[8920] free_gb=2.95
[2026-06-01T23:17:33] stopped pid=25652 term= app.py
[2026-06-01T23:17:52] Flask restarted with audit patches
[2026-06-01T23:17:53] loaded eligible single factors=543
[2026-06-01T23:17:53] run top_is_sharpe_n5_equal_none n=5 method=equal neutralize=none
[2026-06-01T23:18:12] done top_is_sharpe_n5_equal_none success=True valid=5/5 sharpe=11.751
[2026-06-01T23:18:13] run top_is_sharpe_n5_equal_market_cap n=5 method=equal neutralize=market_cap
[2026-06-01T23:18:29] done top_is_sharpe_n5_equal_market_cap success=True valid=5/5 sharpe=12.345
[2026-06-01T23:18:29] run top_is_sharpe_n5_equal_market_cap_regression n=5 method=equal neutralize=market_cap_regression
[2026-06-01T23:18:45] done top_is_sharpe_n5_equal_market_cap_regression success=True valid=5/5 sharpe=12.096
[2026-06-01T23:18:45] run top_is_sharpe_n5_equal_beta n=5 method=equal neutralize=beta
[2026-06-01T23:19:21] done top_is_sharpe_n5_equal_beta success=True valid=5/5 sharpe=11.605
[2026-06-01T23:19:21] run top_is_sharpe_n5_equal_market_cap_beta n=5 method=equal neutralize=market_cap_beta
[2026-06-01T23:19:44] done top_is_sharpe_n5_equal_market_cap_beta success=True valid=5/5 sharpe=12.256
[2026-06-01T23:19:44] run top_is_sharpe_n5_icir_none n=5 method=icir neutralize=none
[2026-06-01T23:20:36] done top_is_sharpe_n5_icir_none success=True valid=5/5 sharpe=12.307
[2026-06-01T23:20:36] run top_is_sharpe_n5_icir_market_cap n=5 method=icir neutralize=market_cap
[2026-06-01T23:21:32] done top_is_sharpe_n5_icir_market_cap success=True valid=5/5 sharpe=12.733
[2026-06-01T23:21:32] run top_is_sharpe_n5_icir_market_cap_regression n=5 method=icir neutralize=market_cap_regression
[2026-06-01T23:22:31] done top_is_sharpe_n5_icir_market_cap_regression success=True valid=5/5 sharpe=12.313
[2026-06-01T23:22:31] run top_is_sharpe_n5_icir_beta n=5 method=icir neutralize=beta
[2026-06-01T23:23:17] done top_is_sharpe_n5_icir_beta success=True valid=5/5 sharpe=12.882
[2026-06-01T23:23:17] run top_is_sharpe_n5_icir_market_cap_beta n=5 method=icir neutralize=market_cap_beta
[2026-06-01T23:24:06] done top_is_sharpe_n5_icir_market_cap_beta success=True valid=5/5 sharpe=12.588
[2026-06-01T23:24:06] run top_is_sharpe_n5_ridge_none n=5 method=ridge neutralize=none
[2026-06-01T23:24:40] done top_is_sharpe_n5_ridge_none success=True valid=5/5 sharpe=11.866
[2026-06-01T23:24:40] run top_is_sharpe_n5_ridge_market_cap n=5 method=ridge neutralize=market_cap
[2026-06-01T23:25:12] done top_is_sharpe_n5_ridge_market_cap success=True valid=5/5 sharpe=12.310
[2026-06-01T23:25:12] run top_is_sharpe_n5_ridge_market_cap_regression n=5 method=ridge neutralize=market_cap_regression
[2026-06-01T23:25:46] done top_is_sharpe_n5_ridge_market_cap_regression success=True valid=5/5 sharpe=12.090
[2026-06-01T23:25:46] run top_is_sharpe_n5_ridge_beta n=5 method=ridge neutralize=beta
[2026-06-01T23:26:17] done top_is_sharpe_n5_ridge_beta success=True valid=5/5 sharpe=11.785
