[19:08:29] Loading ALL data ONCE (engine + minute)...
[19:13:59] Ready: 3645d x 5515s | ALL CACHES HOT
[19:13:59] Start: 50/300 | ALL CACHES HOT | Continuous mode
[19:19:00] === 5min: 50->50 (+0) | 16.7% ===
[19:24:04] === 5min: 50->50 (+0) | 16.7% ===
[19:29:07] === 5min: 50->50 (+0) | 16.7% ===
[19:34:10] === 5min: 50->50 (+0) | 16.7% ===
[19:39:12] === 5min: 50->50 (+0) | 16.7% ===
[19:44:13] === 5min: 50->50 (+0) | 16.7% ===
[19:49:14] === 5min: 50->50 (+0) | 16.7% ===
[19:54:15] === 5min: 50->50 (+0) | 16.7% ===
[19:59:17] === 5min: 50->50 (+0) | 16.7% ===
[20:04:20] === 5min: 50->50 (+0) | 16.7% ===
[20:09:21] === 5min: 50->50 (+0) | 16.7% ===
